Insert; QS pivot left; QS pivot right; QS pivot middle; QS pivot random; Heap; ShellBasic; ShellKnuth;
912,921200; 4,709800; 4,788500; 4,774500; 5,574000; 9,777300; 8,188500; 7,285300; 
916,541500; 4,708400; 4,616600; 4,741400; 5,604800; 9,617000; 8,209300; 7,097600; 
910,036800; 5,020800; 4,650400; 4,750500; 5,635500; 9,613900; 8,122400; 6,968500; 
910,553600; 4,790800; 4,572000; 4,792500; 5,610600; 9,647400; 8,710000; 7,140300; 
904,792900; 4,660300; 4,610300; 4,624500; 5,472900; 9,643600; 7,986300; 7,002200; 
919,080900; 4,819600; 4,638900; 4,887000; 5,726100; 9,863700; 8,441200; 7,523300; 
935,416000; 4,805900; 4,587400; 4,793700; 5,709400; 9,902800; 8,374000; 6,979800; 
911,862900; 4,760600; 4,662700; 4,810100; 5,541400; 9,965300; 8,388700; 7,487100; 
942,572800; 4,923000; 4,931100; 4,842900; 5,625700; 9,874200; 8,418200; 7,206100; 
966,454200; 4,733400; 4,733400; 4,982200; 5,629900; 9,756200; 8,305100; 7,185000; 
950,769900; 5,846900; 4,989500; 4,782700; 5,578100; 10,009000; 8,244000; 7,369800; 
907,056800; 4,715300; 4,619000; 4,971400; 5,541000; 9,712700; 8,183500; 7,195300; 
906,161300; 4,594700; 4,698300; 4,686500; 5,384300; 9,612400; 8,029400; 7,308300; 
899,771600; 4,722700; 4,448500; 4,604500; 5,426100; 9,547200; 8,220800; 7,024100; 
905,802100; 4,651100; 4,730000; 4,977700; 5,395600; 9,631100; 7,899900; 7,069400; 
907,912800; 4,582300; 4,539900; 4,617500; 5,437900; 9,614400; 7,938900; 7,157400; 
908,643700; 4,818600; 4,666900; 4,752200; 5,522200; 9,708600; 8,119600; 7,034900; 
921,595700; 4,769500; 4,739400; 4,780900; 5,571200; 9,637000; 8,228800; 7,198300; 
918,991800; 4,716200; 4,783000; 4,793000; 5,527800; 9,878900; 8,211300; 7,128900; 
927,526400; 4,707700; 4,812600; 4,777900; 5,573800; 9,769100; 8,270400; 6,930300; 
920,007200; 4,691000; 4,489000; 4,849400; 5,503700; 9,711400; 8,069000; 6,985400; 
915,553200; 4,704200; 4,562300; 4,799500; 5,540400; 9,688800; 8,225400; 7,138600; 
910,787100; 4,734700; 4,518500; 4,646900; 5,388900; 9,827600; 8,203700; 7,025600; 
920,554200; 4,662300; 4,695300; 4,807500; 5,669200; 9,702800; 8,285300; 7,327400; 
911,446600; 4,702200; 4,772800; 4,686800; 5,440200; 9,580900; 8,042000; 7,500100; 
915,457300; 4,711600; 4,564500; 4,842700; 5,539500; 9,656500; 8,090600; 7,171300; 
905,303300; 4,721100; 4,599000; 4,725900; 5,625300; 9,622000; 8,401800; 7,115700; 
907,632200; 4,859200; 4,589100; 4,784600; 5,535000; 9,658000; 8,279400; 7,159300; 
914,342400; 4,592700; 4,780700; 4,744000; 5,698500; 9,617800; 8,277300; 7,085600; 
909,954100; 4,761900; 4,607300; 4,875700; 5,543400; 9,690000; 8,230600; 7,310700; 
910,318800; 4,704700; 4,612900; 4,784200; 5,512500; 9,679400; 8,168800; 7,571200; 
916,842600; 4,824600; 4,579700; 4,720900; 5,579300; 9,626900; 8,281800; 7,042200; 
911,378000; 4,712900; 4,598800; 4,941100; 5,516700; 9,719900; 8,129600; 7,364500; 
917,619800; 4,763900; 4,556200; 4,815000; 5,576600; 9,620000; 8,318100; 7,007000; 
921,034300; 4,827800; 4,705300; 4,808000; 5,569200; 9,925300; 8,271100; 7,603800; 
922,024300; 4,692500; 4,620700; 4,804800; 5,516500; 9,698700; 8,213100; 7,047100; 
915,589200; 4,716100; 4,653400; 4,861900; 5,549200; 9,802500; 8,381700; 7,157100; 
923,198200; 4,745000; 4,671700; 4,801300; 5,534000; 9,725400; 8,225500; 7,259300; 
920,596300; 4,817800; 4,612200; 4,774900; 5,595100; 9,628700; 8,205500; 7,169500; 
912,319500; 4,672700; 4,577700; 4,817000; 5,513100; 9,752200; 8,098800; 7,386100; 
