Insert; QS pivot left; QS pivot right; QS pivot middle; QS pivot random; Heap; ShellBasic; ShellKnuth;
454,450200; 405,882600; 400,203800; 0,738900; 1,340500; 3,539100; 1,113000; 0,806600; 
452,672900; 404,345000; 405,348000; 0,740600; 1,331600; 3,397300; 1,119900; 0,804400; 
453,985500; 410,666400; 402,018900; 0,738800; 1,358500; 3,631100; 1,118600; 0,804000; 
450,971200; 404,158000; 400,797100; 0,736000; 1,419400; 3,664300; 1,122900; 0,803600; 
452,932000; 402,370000; 402,050800; 0,759300; 1,337000; 3,535000; 1,147000; 0,825000; 
452,286500; 401,929000; 403,725400; 0,760600; 1,322200; 3,488400; 1,141900; 0,827900; 
454,917900; 402,709400; 403,165300; 0,734800; 1,395200; 3,398700; 1,115000; 0,804400; 
451,783900; 406,354500; 403,426100; 0,746400; 1,385000; 3,398300; 1,120000; 0,805200; 
479,314300; 409,891000; 401,979500; 0,745500; 1,390100; 3,406100; 1,122900; 0,800500; 
451,448900; 407,241600; 400,160000; 0,740400; 1,350100; 3,395600; 1,120900; 0,801800; 
453,448800; 409,738700; 404,500500; 0,741900; 1,339100; 3,568800; 1,120300; 0,803700; 
452,581400; 403,918500; 400,199300; 0,870100; 1,457200; 3,422800; 1,112300; 0,808100; 
454,293500; 401,867000; 405,215500; 0,759300; 1,486700; 3,500300; 1,149200; 0,828700; 
454,369600; 400,036100; 402,998300; 0,739100; 1,313400; 3,377100; 1,120900; 0,806700; 
451,022700; 401,994900; 403,754400; 0,735200; 1,349000; 3,407400; 1,114800; 0,807700; 
455,146100; 402,537700; 403,370400; 0,754900; 1,348900; 3,477900; 1,146000; 0,824700; 
455,889800; 402,384600; 402,971200; 0,740400; 1,372800; 3,411600; 1,119100; 0,808700; 
452,045600; 406,713500; 402,436000; 0,780700; 1,405400; 3,415000; 1,293200; 0,804000; 
455,681200; 406,220600; 401,706700; 0,746000; 1,311500; 3,402400; 1,117100; 0,804300; 
456,028500; 403,517700; 403,322000; 0,739700; 1,370200; 3,422300; 1,118800; 0,810000; 
453,043000; 402,132400; 405,111500; 0,758600; 1,434800; 3,485200; 1,218800; 0,832100; 
457,297200; 403,679400; 401,225100; 0,738400; 1,444000; 3,397400; 1,117100; 0,802300; 
455,108400; 406,248100; 403,012400; 0,733800; 1,554600; 3,402600; 1,119500; 0,807300; 
469,183100; 410,235900; 411,879900; 0,883600; 1,368400; 3,482800; 1,144600; 0,826900; 
456,868300; 404,113800; 405,431000; 0,751300; 1,281700; 3,482800; 1,247600; 0,819700; 
455,820200; 406,047400; 403,792000; 0,743800; 1,431300; 3,398800; 1,116700; 0,803900; 
455,590800; 403,341000; 407,918000; 0,737600; 1,300200; 3,403000; 1,115700; 0,808400; 
453,290100; 406,606100; 407,341600; 0,756300; 1,443500; 3,516000; 1,147100; 0,829800; 
449,957900; 405,377800; 402,729900; 0,741900; 1,403800; 3,393500; 1,119100; 0,804800; 
456,093900; 403,897200; 401,797300; 0,952000; 1,546200; 3,397900; 1,118100; 0,808600; 
455,040400; 400,892100; 406,153700; 0,760100; 1,378100; 3,486600; 1,147900; 0,825200; 
455,364700; 402,767300; 405,327200; 0,739900; 1,227800; 3,391900; 1,123700; 0,805000; 
451,188900; 406,340000; 405,599800; 0,741500; 1,298400; 3,570600; 1,120800; 0,804500; 
449,897200; 403,749100; 400,991900; 0,763800; 1,462800; 3,496500; 1,155400; 0,821800; 
460,128300; 399,243000; 404,949500; 0,736600; 1,342200; 3,396000; 1,305700; 0,833900; 
451,948800; 402,644700; 404,940100; 0,743800; 1,641800; 3,425800; 1,120600; 0,810300; 
450,431900; 405,023100; 400,293100; 0,734900; 1,395600; 3,404000; 1,128800; 0,804900; 
453,260800; 401,969200; 402,380900; 0,741800; 1,482500; 3,400600; 1,117800; 0,811600; 
454,770200; 401,328200; 401,412600; 0,748800; 1,511300; 3,539700; 1,120400; 0,805400; 
453,318400; 402,992400; 403,631400; 0,740600; 1,435400; 3,400500; 1,121900; 0,810000; 
