Insert; QS pivot left; QS pivot right; QS pivot middle; QS pivot random; Heap; ShellBasic; ShellKnuth;
0,074300; 600,163300; 633,676400; 0,885700; 1,837200; 4,522000; 1,049700; 0,634000; 
0,085000; 595,463200; 628,010000; 0,869000; 1,856500; 5,065300; 0,995600; 0,654300; 
0,074100; 602,112200; 638,814400; 1,346000; 2,051700; 4,596000; 1,006200; 0,640600; 
0,074500; 600,454600; 635,337400; 0,887000; 2,016000; 4,542400; 1,158900; 0,644000; 
0,074300; 604,717700; 629,442800; 0,881100; 2,101800; 4,535500; 0,994000; 0,641300; 
0,074200; 596,045400; 634,037200; 0,898800; 2,225200; 4,733000; 1,001400; 0,643000; 
0,074500; 606,913300; 632,950100; 0,886100; 2,131400; 4,514100; 0,997700; 0,641700; 
0,074300; 602,506400; 635,337900; 0,896700; 1,999100; 4,522900; 0,997900; 0,642300; 
0,074200; 599,756700; 629,376100; 0,898200; 1,854500; 4,615100; 0,992100; 0,640200; 
0,074400; 602,240200; 631,913400; 0,862100; 1,766000; 4,559100; 0,974200; 0,627200; 
0,074300; 597,252600; 641,239800; 0,988100; 1,911300; 4,530700; 0,998700; 0,641300; 
0,074200; 614,004800; 644,475100; 0,894000; 1,997600; 4,692600; 0,996900; 0,649800; 
0,074700; 604,645700; 636,761100; 0,894100; 1,990100; 4,525800; 0,998200; 0,640500; 
0,074300; 596,807200; 628,313800; 0,891600; 2,043600; 4,520800; 0,994100; 0,641600; 
0,074100; 600,672100; 638,521100; 0,901500; 1,992600; 4,588300; 0,997600; 0,726400; 
0,074100; 611,046900; 635,523800; 0,891100; 2,082900; 4,524700; 0,996800; 0,641800; 
0,074200; 600,107600; 628,835600; 0,877700; 1,987000; 4,532000; 0,990600; 0,639500; 
0,074400; 594,183900; 626,039600; 0,886400; 1,916600; 4,580000; 0,990900; 0,652300; 
0,074300; 592,831600; 629,722400; 0,885400; 1,790500; 4,722800; 1,001200; 0,640300; 
0,074500; 600,702000; 634,493800; 0,890100; 1,862700; 4,579500; 0,995700; 0,642800; 
0,077600; 597,567200; 633,160500; 0,890400; 2,079500; 4,537500; 0,994400; 0,641400; 
0,074400; 600,643800; 632,668700; 0,890800; 1,952100; 4,527500; 1,043000; 0,646200; 
0,074500; 600,368800; 636,094100; 0,925000; 1,997400; 4,641100; 1,001400; 0,644900; 
0,074200; 597,830900; 628,984200; 0,867600; 2,076100; 4,424800; 0,968400; 0,624900; 
0,072400; 596,601600; 629,790300; 0,885300; 1,937700; 4,631400; 0,987100; 0,648600; 
0,074200; 598,248600; 628,100900; 0,867800; 1,953400; 4,490800; 0,973600; 0,624900; 
0,089500; 592,066000; 630,987800; 0,995400; 1,872700; 4,517100; 0,988800; 0,650400; 
0,082200; 601,142400; 633,445800; 1,003300; 1,909600; 4,406700; 0,977400; 0,627000; 
0,074000; 602,410400; 637,762900; 0,885000; 1,897700; 4,555200; 0,994200; 0,643100; 
0,082300; 603,781900; 632,693900; 0,907700; 1,943400; 4,529700; 0,992500; 0,644100; 
0,074500; 598,382900; 634,063700; 0,993100; 2,041700; 4,602300; 0,972900; 0,627800; 
0,074200; 602,245000; 635,366600; 0,972900; 2,072100; 4,865800; 1,086500; 0,642400; 
0,082600; 600,749000; 641,147500; 0,982900; 2,047900; 4,519000; 0,991500; 0,645700; 
0,074400; 597,480900; 632,696500; 0,897200; 1,972100; 5,038600; 0,993500; 0,649200; 
0,074200; 598,056100; 632,590300; 0,891600; 1,986600; 4,949000; 0,994700; 0,646200; 
0,074200; 596,890300; 627,690700; 0,884900; 1,916100; 4,776700; 0,996200; 0,640500; 
0,074500; 602,069600; 635,613400; 0,896400; 1,933600; 4,594100; 1,004700; 0,702200; 
0,082000; 607,460800; 637,401900; 0,922200; 1,891100; 4,618200; 0,998900; 0,646300; 
0,074500; 604,241700; 634,763600; 1,054200; 2,141400; 4,723400; 1,031600; 0,752800; 
0,076200; 598,216100; 631,309800; 0,897100; 2,148800; 4,671900; 0,992600; 0,642200; 
