Insert; QS pivot left; QS pivot right; QS pivot middle; QS pivot random; Heap; ShellBasic; ShellKnuth;
463,256800; 399,466500; 397,066300; 0,751400; 168,466600; 3,505100; 1,227200; 0,877600; 
456,547600; 398,643100; 397,006600; 0,752500; 170,456300; 3,411000; 1,253300; 0,803600; 
444,337000; 396,606300; 396,965200; 0,748300; 169,703500; 3,443400; 1,134200; 0,811700; 
444,079200; 392,982000; 389,805700; 0,733400; 162,251900; 3,323700; 1,106900; 0,785200; 
452,791100; 395,874100; 393,306900; 0,738500; 164,605500; 3,494500; 1,130900; 0,811100; 
445,524800; 392,205600; 393,782300; 0,732200; 161,932200; 3,405900; 1,103400; 0,828000; 
441,722400; 390,234900; 395,030400; 0,746400; 36,526400; 3,430100; 1,134900; 0,800900; 
448,281500; 398,461000; 396,249200; 0,758600; 165,660000; 3,404500; 1,133700; 0,799900; 
448,583300; 394,344200; 397,896400; 0,759500; 164,833800; 3,412900; 1,132400; 0,808500; 
446,303100; 395,867500; 394,994000; 0,739600; 165,351400; 3,406500; 1,152100; 0,795300; 
450,560500; 395,276300; 404,477600; 0,758500; 168,442900; 3,468800; 1,137700; 0,802400; 
472,818500; 401,272400; 398,268700; 0,768500; 166,920300; 3,614700; 1,131300; 0,809500; 
488,671900; 402,928200; 399,131400; 0,756600; 163,650800; 3,546800; 1,106000; 0,782400; 
441,788200; 393,885700; 401,529800; 0,761500; 163,717800; 3,424000; 1,132900; 0,846700; 
448,578700; 398,215100; 400,283600; 0,786500; 168,606800; 3,465400; 1,380800; 0,798600; 
450,397000; 400,160100; 401,736100; 0,787600; 168,005800; 4,926200; 1,265200; 0,809400; 
468,594000; 398,648500; 393,538300; 0,738900; 160,330900; 3,329300; 1,119000; 0,789300; 
450,224200; 398,947900; 401,532600; 0,755000; 163,532600; 3,475000; 1,137100; 0,808500; 
448,120400; 399,662000; 397,066200; 0,757600; 47,036900; 3,416700; 1,129500; 0,806300; 
451,687200; 399,578700; 397,978900; 0,753400; 164,488200; 3,460100; 1,141300; 0,802800; 
449,145100; 398,540700; 397,620700; 0,752600; 162,717000; 3,417100; 1,134100; 0,802600; 
450,845800; 397,644000; 413,786800; 0,985800; 167,870700; 4,264900; 1,581100; 1,187900; 
472,503500; 402,454000; 399,813200; 0,911400; 162,799000; 3,401300; 1,134900; 0,998300; 
470,465600; 397,155400; 391,969800; 0,735100; 4,622800; 3,332100; 1,097800; 0,789300; 
443,815300; 395,045400; 391,828500; 0,732700; 160,522300; 3,537800; 1,108100; 0,780700; 
445,181200; 399,037800; 393,648400; 0,733800; 158,614900; 3,456300; 1,104200; 0,783300; 
451,300600; 396,400700; 396,261000; 0,755000; 161,443500; 3,405800; 1,132100; 0,805500; 
447,476700; 396,153700; 392,520100; 0,750200; 160,949100; 3,414800; 1,127800; 0,923900; 
442,368200; 392,372700; 392,126000; 0,734600; 135,879200; 3,349500; 1,219200; 0,778400; 
444,489500; 392,043900; 395,392100; 0,791900; 164,874100; 3,411000; 1,128300; 0,875200; 
445,773900; 389,974700; 396,477200; 0,758100; 160,552700; 3,426200; 1,122600; 0,809800; 
451,562100; 400,384300; 399,462500; 0,756300; 160,611000; 3,368800; 1,101200; 0,785900; 
456,464700; 389,607600; 393,220000; 0,733700; 159,254000; 3,407400; 1,133400; 0,805500; 
458,919100; 394,332400; 392,791600; 0,734100; 104,989600; 3,330000; 1,107900; 0,789500; 
444,420200; 392,059300; 391,218600; 0,738000; 159,156700; 3,321200; 1,105900; 0,785500; 
444,933400; 390,258800; 393,494800; 0,735700; 160,166100; 3,428300; 1,138100; 0,805900; 
444,407700; 402,400700; 391,417100; 0,738000; 158,928300; 3,497100; 1,109000; 0,940300; 
448,591300; 398,073600; 392,994300; 0,741500; 156,765600; 3,325700; 1,100900; 0,787700; 
443,148700; 390,997600; 392,855800; 0,736700; 155,660500; 3,443600; 1,151100; 0,802300; 
444,320800; 397,199100; 391,698300; 0,729800; 157,349300; 3,376000; 1,103800; 0,781500; 
